,rest_name,star_rating,restaurant_reviews_count,restaurant_price,restaurant_cuisines,restaurant_area,restaurant_delivery_options
0,Indian Roti Meal,0.0,0,,"['Halal', 'Indian', 'Fast Food']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
1,Adda Bistro,4.0,8,,"['Indian', 'Bars']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
2,Aanch,4.5,170,$$,['Indian'],Entertainment District,['Delivery']
3,The Bombay,5.0,4,,"['Indian', 'Hakka', 'Venues & Event Spaces']",Queen Street West,"['Outdoor dining', 'Delivery', 'Takeout']"
4,Roti Mahal Indian Cuisine,4.5,9,,['Indian'],Alexandra Park,"['Outdoor dining', 'Delivery', 'Takeout']"
5,Thindi,4.5,16,,['Indian'],Ryerson,"['Delivery', 'Takeout']"
6,Bindia Indian Bistro,4.0,188,$$,['Indian'],St. Lawrence,"['Outdoor dining', 'Delivery', 'Takeout']"
7,Khau Gully,4.0,92,$$,['Indian'],Mount Pleasant and Davisville,[]
8,Indian Desire,5.0,9,,['Indian'],,"['Outdoor dining', 'Delivery', 'Takeout']"
9,Cumin Kitchen - Fine Indian Cuisine,4.5,59,,['Indian'],The Danforth,"['Delivery', 'Takeout']"
10,Pukka Pukka,5.0,11,,['Indian'],,"['Outdoor dining', 'Delivery', 'Takeout']"
11,Bhoj Indian Cuisine,4.0,64,$$,['Indian'],Yorkville,"['Outdoor dining', 'Delivery', 'Takeout']"
12,Kathmandu Restaurant,3.5,61,,"['Himalayan/Nepalese', 'Indian']",Yorkville,"['Proof of vaccination required', 'Delivery', 'Takeout']"
13,Indian Roti Meal,0.0,0,,"['Halal', 'Indian', 'Fast Food']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
14,Adda Bistro,4.0,8,,"['Bars', 'Indian']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
15,Indian Roti House,4.0,208,$$,['Indian'],Harbourfront,"['Delivery', 'Takeout']"
16,Saffron Spice Kitchen,4.0,125,$,"['Indian', 'Soup', 'Sandwiches']",Queen Street West,['$20 for $25 Deal']
17,Banjara Indian Cuisine,3.5,417,$$,['Indian'],Christie Pits,[]
18,Himalayan Kitchen,4.5,124,$$,"['Indian', 'Himalayan/Nepalese']",Parkdale,[]
19,Madras Masala,4.0,148,$$,['Indian'],Christie Pits,[]
20,Mannat Indian & Hakka Bar,5.0,1,,"['Indian', 'Hakka']",Dufferin Grove,[]
21,Little India Restaurant,3.5,390,$$,"['Indian', 'Buffets']",Queen Street West,"['Delivery', 'Takeout']"
22,Sher-E-Punjab,4.0,81,$$,['Indian'],Riverdale,"['Outdoor dining', 'Delivery']"
23,Pukka,4.0,166,,['Indian'],,[]
24,Tamasha,4.0,20,,"['Bars', 'Indian']",Mount Pleasant and Davisville,"['Outdoor dining', 'Delivery', 'Takeout']"
25,Kathmandu Restaurant,3.5,61,,"['Himalayan/Nepalese', 'Indian']",Yorkville,"['Proof of vaccination required', 'Delivery', 'Takeout']"
26,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
27,Indian Roti Meal,0.0,0,,"['Halal', 'Indian', 'Fast Food']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
28,Lahore Tikka House,3.5,508,$$,"['Halal', 'Pakistani']",Leslieville,"['Outdoor dining', 'Delivery', 'Takeout']"
29,Matha Roti - East Indian Cuisine,4.0,32,,['Indian'],,"['Delivery', 'Takeout']"
30,Masala Guys,4.5,5,,['Indian'],The Annex,"['Delivery', 'Takeout']"
31,Maezo Indian Cuisine,5.0,9,,['Indian'],Downtown Core,"['Outdoor dining', 'Delivery', 'Takeout']"
32,Good Karma,4.5,11,,"['Indian', 'Juice Bars & Smoothies', 'Salad']",Riverdale,"['Delivery', 'Takeout']"
33,Leela Indian Food Bar,4.0,93,$$,['Indian'],The Junction,"['Delivery', 'Takeout']"
34,Chadani Indian Cuisine,4.5,21,,['Indian'],,"['Delivery', 'Takeout']"
35,Naan & Kabob,4.0,124,$$,"['Afghan', 'Kebab']",Church-Wellesley Village,"['Delivery', 'Takeout']"
36,Aroma Fine Indian Cuisine,3.5,210,$$,['Indian'],Entertainment District,['Delivery']
37,Twisted Indian Wraps,4.5,3,,['Indian'],Deer Park,"['Outdoor dining', 'Takeout']"
38,Adda Bistro,4.0,8,,"['Indian', 'Bars']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
39,Indian Roti Meal,0.0,0,,"['Halal', 'Fast Food', 'Indian']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
40,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
41,Kathmandu Restaurant,3.5,61,$$,"['Indian', 'Himalayan/Nepalese']",Yorkville,"['Proof of vaccination required', 'Delivery', 'Takeout']"
42,Aafrien,4.5,7,,['Indian'],Yonge and Eglinton,"['Outdoor dining', 'Delivery', 'Takeout']"
43,Indian Street Food Company,3.5,75,$$,"['Indian', 'Wine Bars']",Mount Pleasant and Davisville,[]
44,Mother India,4.0,196,$$,['Indian'],Parkdale,[]
45,Suruthi’s Take Out & Catering,4.0,9,$,['Indian'],Cabbagetown,[]
46,Lageez,4.5,103,$$,['Indian'],Scarborough,"['Outdoor dining', 'Delivery', 'Takeout']"
47,Naanspot- Modern Indian Cuisine,4.0,5,,['Indian'],,"['Outdoor dining', 'Delivery', 'Takeout']"
48,Roti Cuisine of India,4.5,107,,['Indian'],,['Delivery']
49,Utsav,4.0,123,$$,"['Food Delivery Services', 'Indian']",Yorkville,[]
50,Karahi Boys,4.0,27,,"['Pakistani', 'Barbeque']",Scarborough,"['Outdoor dining', 'Delivery', 'Takeout']"
51,Panera Bread,3.0,59,,"['Soup', 'Salad', 'Sandwiches']",,"['Delivery', 'Takeout']"
52,Indian Roti Meal,0.0,0,,"['Fast Food', 'Halal', 'Indian']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
53,Adda Bistro,4.0,8,,"['Bars', 'Indian']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
54,Roti’s To Go,4.0,16,,['Indian'],Ryerson,"['Delivery', 'Takeout']"
55,Suksi Biryani House,3.5,65,$,['Indian'],Church-Wellesley Village,[]
56,Raj Mahal Indian Cuisine,4.5,32,,"['Indian', 'Kebab']",,"['Delivery', 'Takeout']"
57,Tibet Kitchen,4.5,245,$$,['Himalayan/Nepalese'],Parkdale,['Delivery']
58,Govinda’s,4.0,36,$,"['Vegetarian', 'Vegan', 'Indian']",Summer Hill,"['Delivery', 'Takeout']"
59,Banjara Indian Cuisine,4.0,138,$$,['Indian'],Yonge and Eglinton,[]
60,Indian Grill,4.0,85,$$,['Indian'],Ossington Strip,[]
61,Tadka - Sizzling Indian Spices,5.0,9,,['Indian'],Etobicoke,"['Delivery', 'Takeout']"
62,My Roti Place,4.5,25,,['Indian'],Niagara,"['Delivery', 'Takeout']"
63,Bajra Indian & Hakka Chinese Cuisine,4.5,15,,"['Indian', 'Hakka']",,['Takeout']
64,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
65,Silver Chopsticks,4.5,10,,"['Vietnamese', 'Thai']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
66,Indian Roti Meal,0.0,0,,"['Halal', 'Indian', 'Fast Food']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
67,Miya Bhai,4.5,11,,['Indian'],Seaton Village,[]
68,Butter Chicken Roti,4.0,34,,['Indian'],Corktown,"['Delivery', 'Takeout']"
69,Maja Indian Cuisine,4.0,28,,['Indian'],,[]
70,My Roti Place,4.0,15,,['Indian'],Harbourfront,"['Delivery', 'Takeout']"
71,Chandni Chowk Restaurant,4.0,28,,['Indian'],,"['Outdoor dining', 'Delivery', 'Takeout']"
72,Byblos,4.5,814,$$$,"['Mediterranean', 'Middle Eastern']",Entertainment District,"['Delivery', 'Takeout']"
73,Butter Chicken Factory,3.5,125,$$,"['Indian', 'Buffets']",Cabbagetown,"['Delivery', 'Takeout']"
74,Motimahal,3.5,101,,['Indian'],,['Delivery']
75,The Host Fine Indian Cuisine,3.5,117,$$,['Indian'],Downtown Core,"['$35 for $50 Deal', 'Outdoor dining', 'Delivery', 'Takeout']"
76,Colaba Junction,3.0,70,$$,['Indian'],Downtown Core,[]
77,Adda Bistro,4.0,8,,"['Indian', 'Bars']",Corktown,"['Make an Online Reservation', 'Outdoor dining', 'Delivery', 'Takeout']"
78,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
79,Indian Roti Meal,0.0,0,,"['Halal', 'Fast Food', 'Indian']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
80,Madras Kaapi,5.0,1,,"['Coffee & Tea', 'Indian']",Dufferin Grove,[]
81,South Indian Dosa Mahal,4.0,6,,['Indian'],Parkdale,['Delivery']
82,Kothur Indian Cuisine,3.5,83,$$,['Indian'],Church-Wellesley Village,[]
83,TVX,5.0,22,,"['Vegan', 'Indian']",Kensington Market,"['Outdoor dining', 'Delivery', 'Takeout']"
84,Maurya East Indian Roti,3.0,41,$$,['Indian'],Liberty Village,[]
85,The Veggie Thali,4.5,57,,"['Indian', 'Vegetarian', 'Vegan']",,['Delivery']
86,309 Dhaba Indian Excellence,3.0,183,$$,['Indian'],Entertainment District,[]
87,Dil Se Indian Restaurant & Bar,0.0,0,,"['Indian', 'Bars']",Roncesvalles,[]
88,Spice66,4.0,3,,"['Indian', 'Kebab']",Ryerson,"['Outdoor dining', 'Delivery', 'Takeout']"
89,Kamasutra Indian Restaurant & Wine Bar,3.5,102,$$,"['Indian', 'Wine Bars']",Mount Pleasant and Davisville,"['Outdoor dining', 'Delivery', 'Takeout']"
90,Panera Bread,3.0,59,,"['Salad', 'Sandwiches', 'Soup']",,"['Delivery', 'Takeout']"
91,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
92,Indian Roti Meal,0.0,0,,"['Halal', 'Indian', 'Fast Food']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
93,Annalakshmi,3.0,6,,"['Vegetarian', 'Indian']",Entertainment District,[]
94,Butter Chicken Roti,3.5,12,,['Indian'],Downtown Core,"['Outdoor dining', 'Delivery', 'Takeout']"
95,Bombay Chowpatty,3.0,54,,"['Indian', 'Vegetarian']",,['Delivery']
96,Nawab Express On Avenue,3.5,23,,['Indian'],,[]
97,Pili Pili,4.5,39,$$,"['Indian', 'African']",Scarborough,[]
98,Maroli Indian Restaurant,3.5,45,$$,"['Indian', 'Halal', 'Food Delivery Services']",Koreatown,[]
99,My Roti Place,4.0,19,,['Indian'],Mount Pleasant and Davisville,"['Delivery', 'Takeout']"
100,King Place,3.5,42,,"['Pakistani', 'Indian']",,[]
101,Mumbaikar Indian Restaurant and Bar,5.0,1,,"['Indian', 'Bars']",Dufferin Grove,"['Outdoor dining', 'Delivery', 'Takeout']"
102,Chaska,4.0,1,,['Indian'],Entertainment District,[]
103,Panera Bread,3.0,59,,"['Salad', 'Sandwiches', 'Soup']",,"['Delivery', 'Takeout']"
104,Indian Roti Meal,0.0,0,,"['Indian', 'Fast Food', 'Halal']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
105,Silver Chopsticks,4.5,10,,"['Thai', 'Vietnamese']",Etobicoke,"['Outdoor dining', 'Delivery', 'Takeout']"
106,Ambiyan on Yonge,4.0,10,,['Indian'],Deer Park,[]
107,My Roti Place,3.5,63,$$,['Indian'],Queen Street West,[]
108,Bukhara Grill,4.0,62,$$,"['Indian', 'Vegan', 'Himalayan/Nepalese']",Swansea,[]
109,Govardhan Thal,3.5,24,$,['Indian'],Scarborough,[]
110,Patio Indian Restaurant,5.0,4,,['Indian'],,[]
111,Bombay Touch,4.0,66,,['Indian'],,"['Delivery', 'Takeout']"
112,CurryFace,4.5,2,,"['Indian', 'Food Stands']",Ryerson,[]
113,Punjabi By Nature,4.5,2,,['Indian'],Riverdale,['Delivery']
114,Udupi Palace,3.5,194,,"['Indian', 'Vegetarian', 'Gluten-Free']",,['Takeout']
115,Hyderabad Biryani Hut,3.5,23,,"['Indian', 'Halal']",Scarborough,"['Delivery', 'Takeout']"
116,Panera Bread,3.0,59,,"['Soup', 'Sandwiches', 'Salad']",,"['Delivery', 'Takeout']"
117,Indian Roti Meal,0.0,0,,"['Fast Food', 'Halal', 'Indian']",Chinatown,"['Outdoor dining', 'Delivery', 'Takeout']"
