,review_text,review_date,review_star_rating,reviewer_city,review_useful_count,review_funny_count,review_cool_count
0,"Went here for my first meal in Toronto and it did not disappoint. I got a veggie combo- it came with palak paneer, aloo gobi, plain naan, rice, onion pakora, daal, and rice pudding. Such a great deal for a low cost, and it easily was enough food to split into 2-3 meals.",2021-11-28,5.0,Pittsburgh,0,0,0
1,"For the life of me I really don't understand why Banjara is as highly rated as it is.The food is BLAND. even medium spice level is more mild than any other Indian food restaurant I've ever been to. The entrees have almost no sauce, it's just meat and/or veg and a tiny amount of sauce. Want a potato curry? Ok here is a bunch of large hard pieces of potato in a tiny amount of sauce. I hadn't had Banjara in a few years and ordered some last night and it's basically the most disappointing Indian food I've had in years. So bland, so boring, not savoury, not rich in flavour, and expensive also! Never again. Only giving 2 stars because at leas the veg pakoras were good.",2021-09-27,2.0,Toronto,0,0,0
2,I love Banjara! It's impressive how well they cater the flavours at all spice levels and can please both the traditional Indian customers and non Indian palette alike! All items I have tried are great. The butter chicken and karahi lamb were delicious! This is a Toronto staple and most likely the best Indian restaurant around.,2021-11-07,4.0,Waterloo,0,0,0
3,"Got delivery during Covid.It's very affordable and you get a lot of food.The food in the pic lasted an entire weekend!Will definitely order again.Oh and last but not least, all the food was delicious!",2021-01-30,5.0,Toronto,1,0,0
4,"Haven't been able to give Yelp enough lovin with everything going on so I think this review is long overdue.Amazing Indian food on the cusp of Korea town. I have come here again and again, and will keep coming back again and again. I've already made plans with friends to visit together once things are better and can't wait! I enjoy variety so I always get the combo platters. All their combo platters come with your choice of main (meat/veggie) along with rice, naan, daal curry, aloo gobi, veggie pakora and ricepudding. For real, you get all this! My go to is the butter chicken but the lamb vidaloo is also pretty awesome. You can also modify the spice level of your dishes. Other than the great food, I've always received friendly service too. A bonus to drivers who know how difficult it is to find parking downtown: psssst there's free parking here. Banjara, you keep doing you. Heartheart",2020-07-12,5.0,North York,5,1,3
5,"The food is pretty good but the service is terrible and unreliable. We ordered food and I had to call them 2 hours after as it had still not arrived. The staff lied to me saying it had left with the driver, and it actually arrived 30 minutes later stone cold. Embarrassing.",2021-09-24,1.0,Old Toronto,1,0,0
6,"I received the wrong order and they blamed the delivery service, yet the bill stapled to the bag had the correct order.When I called them regarding the order they were very rude and dismissive.",2021-05-29,1.0,Manhattan,2,0,1
7,"I suggest checking your order before taking it home, and not ordering on Uber eats. They made 2 mistakes on my Uber ears order: a missing salad and I was missing an order of rice.",2021-06-26,3.0,Old Toronto,0,0,0
8,"Its not often I order take-out Indian but from now on, when  I do it will Banjara!We opted to change our tastes this weekend by grabbing some good old curry and naan. Banjara was close by and the 5pm hunger pangs meant most places would be less busy.I ordered a whole tandoori chicken, Kahari chicken, naan, and rice. The order was quick and when  I got home, I was pleasantly surprised to find a side of chutney, papadums, and a small rice dessert in addition to my order, well done guys!!The packaging was awesome, no leaks, food was hot and damn fine in flavour!Portions were huge and well worth the $40 bucks!!Can't believe I waited so long to give them another try, I will be back!!",2019-09-03,5.0,Vaughan,1,1,1
9,"I was craving some good butter chicken, and found Banjara on one of BlogTO's top lists for indian food and was praised particularly for its butter chicken, so I had to give it a try. I must say, this was truly phenomenal butter chicken. I ordered the dinner combo which came with various sides like rice, naan, daal, aloo gobi, vegetable pakoras, and rice pudding. Each curry had a unique and in tense blend of deep, pungent and highly developed layers of flavour, and the butter chicken especially was incredible - tender, spicy and rich, and just bursting with a myriad of flavours. The pakoras were crisp and beautifully seasoned, the naan was lightly buttered and salted, perfectly crispy on the outside and soft and fluffy on the inside, and paired perfectly with the curries. Lastly, the rice pudding was a delightfully refreshing end to the meal. Banjara's placement in BlogTO's top list is well deserved and I will definitely be returning whenever I want good Indian food in Toronto.",2019-08-12,5.0,Waterloo,2,0,0
